text,is_toxic
"Delete your account and log off forever, you absolute disgrace of a human.",1
"Honestly your project turned out really well, great job!",0
There is a fundamental contradiction between section three and section seven.,0
you make me sick. I hope you see this and feel bad.,1
honestly this post are worthless garbage and it's not even close,1
Just wanted to say the weather today was surprisingly good.,0
this article is super underrated. Really appreciate you posting this!,0
"your take on this are trash and always have been. You're not fooling anyone, quit trying.",1
this article was a lot of fun to watch. Thanks for taking the time to share.,0
"Clear and comprehensive breakdown of the research paper, very illuminating.",0
"lol this account are trash and always have been, go touch grass",1
"Not gonna lie, this book was surprisingly good.",0
"I think your garden looks amazing, well done.",0
"get out of here with this garbage, this post are a disgrace",1
your project is exactly what I needed. Really appreciate you posting this!,0
"get out of here with this garbage, this comment disgust me honestly.",1
Here's a quick tip that saved me hours of debugging.,0
Loved how this documentary was such a great read.,0
"I hope you lose your job and end up living on the street, loser.",1
"Wow, you make me sick. Get lost. honestly.",1
Just wanted to say the new update looks amazing.,0
why do this video always act this dumb? so annoying,1
this article are so pathetic. Do everyone a favor and stop posting.,1
"no one cares what OP thinks, OP need to shut up",1
your garden is super underrated! Following for more updates.,0
Who is planning to attend the open data conference in San Francisco next month?,0
Loved how this recipe made me smile.,0
"You are genuinely too stupid to understand basic logic, aren't you?",1
Sharing some photos from our trip last weekend!,0
"Not gonna lie, this tutorial made my day so much better.",0
Loved how this article is one of my new favorites.,0
"Congrats on the new job, well deserved!",0
"Holy cow, this spicy ramen is killing my tastebuds in the best way.",0
I can't believe your take need to shut up. Absolute clown behavior.,1
"this video are too stupid to understand basic facts, just stop talking already",1
this article are so pathetic. This is why nobody takes you seriously.,1
"This account is run by a certified moron, case closed.!",1
"Not gonna lie, the game last night turned out really well.",0
"this post make no sense and never will. You're not fooling anyone, quit trying.",1
"lol this video are absolutely clueless, go touch grass",1
"get out of here with this garbage, your argument disgust me",1
The sunset over the lake tonight was unbelievable.,0
"You make a valid rhetorical case, but legal precedent suggests a different outcome.",0
the weather today was a lot of fun to watch — can't wait to see more.,0
"Congrats on the new job, well deserved! for real.",0
"get out of here with this garbage, your logic disgust me",1
your opinion are too stupid to understand basic facts. Nobody asked for your input anyway.!,1
your take on this are an actual moron!!! delete your account already,1
your argument should be ashamed. Nobody asked for your input anyway.,1
you are trash and always have been. This is why nobody takes you seriously.,1
"your argument are so pathetic, just stop talking already",1
I can't believe your logic make no sense and never will. Absolute clown behavior.,1
"get out of here with this garbage, your argument are embarrassing yourself",1
why do this article always talk like this? so annoying for real.,1
your workout routine was surprisingly good. Really appreciate you posting this!,0
OP are a loser. I hope you see this and feel bad.,1
I can't believe your logic are a waste of space. Absolute clown behavior.,1
I don't find this empirical argument convincing without baseline control metrics.,0
"this account are an actual moron, just stop talking already",1
"Not gonna lie, the weather today was really helpful, thanks for sharing.",0
the weather today looks amazing. Really appreciate you posting this!,0
"I think this recipe was surprisingly good, well done.",0
Loved how your workout routine really impressed me.,0
"Not gonna lie, the new coffee shop really nailed the details.",0
"lol you are an actual moron, go touch grass",1
your content need to shut up. Nobody asked for your input anyway.,1
your content are a joke!!! delete your account already,1
"Looking forward to the weekend, finally some rest.",0
your garden is one of my new favorites! Following for more updates.,0
"This community has been so welcoming, glad I joined.",0
this video are trash and always have been. Nobody asked for your input anyway.,1
"I think your project really nailed the details, well done.",0
this article looks amazing. Thanks for taking the time to share.,0
"I think your photo is one of my new favorites, well done.",0
why do this whole thread always have to ruin everything? so annoying,1
Just wanted to say your garden looks amazing.,0
your argument need to shut up. Do everyone a favor and stop posting.,1
I can't believe your logic are delusional. Absolute clown behavior.!,1
You are a pathetic excuse for a human being and everyone hates you. honestly.,1
I can't believe your logic are trash and always have been. Absolute clown behavior.,1
"Just adopted a rescue dog, he's the sweetest boy.",0
your workout routine looks amazing! Following for more updates.,0
"get out of here with this garbage, your argument are a complete idiot",1
"ur entire profile is g@rbage, delete your account immediately",1
your garden deserves way more attention. Thanks for taking the time to share.,0
your opinion are a complete idiot. This is why nobody takes you seriously. honestly.,1
Just wanted to say this tutorial made my day so much better.,0
Here is the official documentation link for anyone looking for the setup guide.,0
honestly your opinion are worthless garbage and it's not even close,1
Shut up bitch before somebody permanently puts you in your place.,1
"That new Kendrick album is so sick, on repeat all weekend.",0
"Remember to stretch, stay hydrated, and take breaks from your monitor today.",0
"Honestly the weather today was a lot of fun to watch, great job!",0
"Honestly this tutorial made my day so much better, great job! honestly.",0
"this song was really helpful, thanks for sharing! Following for more updates.",0
"Not gonna lie, your project was really helpful, thanks for sharing.",0
"I hope something bad happens to you, you absolute waste of oxygen.",1
"Honestly your project turned out really well, great job! honestly.",0
your presentation was a lot of fun to watch. Would love to see a follow-up.,0
"get out of here with this garbage, your content make me sick",1
"This account is run by a certified moron, case closed.",1
"I think your workout routine looks amazing, well done.",0
"I'm dead, this meme format is too accurate.",0
"You disgust me, get off this platform forever.",1
why do your content always act this dumb? so annoying,1
your logic are a waste of space. This is why nobody takes you seriously. honestly.,1
Just wanted to say this song made my day so much better.,0
your presentation really nailed the details! Following for more updates.!,0
You are a cancer on this community and need to be purged.,1
The harvest from the neighborhood community garden is bountiful this year.,0
"Not gonna lie, your workout routine really impressed me.",0
Just wanted to say your presentation was such a great read.,0
honestly your argument are a loser and it's not even close,1
Very thoughtful discussion on distributed consensus algorithms in modern clouds.,0
Loved how your presentation turned out really well.,0
The codebase lacks adequate unit test coverage for edge cases in reconciliation.,0
"My cat knocked over my coffee again, classic Monday.",0
"Not gonna lie, your project is exactly what I needed.",0
"Wow, this article are a disgrace. Get lost.",1
"Man, I'm burning with jealousy over that incredible workstation setup.",0
why do your content always post this nonsense? so annoying,1
"Shut up, this whole thread are trash and always have been and everyone can see it.",1
"Die in a fire, your family must be utterly ashamed that you exist.",1
u r a f*cking idiot go k!ll urself right now,1
your logic are a waste of space. This is why nobody takes you seriously.,1
this article made my day so much better. Really appreciate you posting this!,0
"get out of here with this garbage, you are pathetic and everyone knows it",1
The sourdough bread recipe worked wonderfully with a longer cold ferment.,0
this documentary is super underrated. Thanks for taking the time to share.,0
the new update really impressed me. Would love to see a follow-up.,0
"this tutorial was really helpful, thanks for sharing. Thanks for taking the time to share.",0
your argument are a complete idiot. This is why nobody takes you seriously.,1
this article turned out really well — can't wait to see more.,0
this whole thread are too stupid to understand basic facts. Do everyone a favor and stop posting.,1
your content are the dumbest thing I've read all week. I hope you see this and feel bad.,1
honestly OP are worthless garbage and it's not even close honestly.,1
I can't believe this comment should be ashamed. Absolute clown behavior.,1
"Honestly your project was clearly a lot of work and it paid off, great job!",0
"Not gonna lie, this article is one of my new favorites.",0
Loved how your presentation is one of my new favorites.,0
this article looks amazing. Would love to see a follow-up.,0
your take disgust me. Do everyone a favor and stop posting.,1
The world would genuinely celebrate if you disappeared tomorrow.,1
"This bassline is filthy, pure funk magic.",0
"Keep barking you miserable dog, nobody listens to you anyway.",1
this documentary is exactly what I needed. Would love to see a follow-up.,0
"Drop dead gorgeous dress, where did you buy it?",0
why do your content always act this dumb? so annoying for real.,1
why do your take always act so entitled? so annoying!,1
I can't believe this comment are a loser. Absolute clown behavior.,1
"I bet you're just as ugly as your opinions, pathetic.",1
your presentation turned out really well — can't wait to see more.,0
This hot sauce will blow your head off but the flavor is unmatched.,0
"get out of here with this garbage, OP disgust me",1
"lol your take make me sick, go touch grass for real.",1
Loved how your garden really nailed the details.,0
Loved how your presentation really impressed me.,0
this post are a disgrace. Do everyone a favor and stop posting.,1
I know what neighborhood you live in and you will pay for this.,1
"no one cares what your take on this thinks, your take on this are pathetic and everyone knows it",1
"your opinion are trash and always have been. You're not fooling anyone, quit trying.",1
your photo was such a great read. Would love to see a follow-up.,0
Loved how your workout routine made my day so much better.,0
We crushed our quarterly goals thanks to the engineering team's hard work.,0
your take on this are delusional!!! delete your account already,1
"you are a waste of space. You're not fooling anyone, quit trying.",1
I can't believe your argument are a complete idiot. Absolute clown behavior.,1
Enjoying a quiet morning pour-over coffee before the team sprint planning.,0
I had a heart attack when that jump scare happened!,0
You deserve to be beaten within an inch of your life for that.,1
"lol your content are too stupid to understand basic facts, go touch grass",1
"Nobody cares about your pathetic sob story, cry harder you snowflake.",1
I don't think this market expansion strategy will scale once acquisition costs rise.,0
Go jump off a tall bridge nobody wants you in this server.,1
I am literally dying of laughter watching this comedy special.,0
this book is exactly what I needed! Following for more updates.,0
"I think this article was clearly a lot of work and it paid off, well done.",0
why do OP always have to ruin everything? so annoying,1
"Bro, you absolutely killed that guitar solo on stage tonight!",0
this comment are a waste of space. Nobody asked for your input anyway.,1
"this article are trash and always have been, just stop talking already",1
Checked out the GitHub repository and gave it a well-deserved star.,0
"lol your content are too stupid to understand basic facts, go touch grass for real.",1
You're a beast for finishing that pull request at 2 AM.,0
why do your logic always act this dumb? so annoying,1
Loved how this book really nailed the details. for real.,0
"get out of here with this garbage, your argument disgust me!",1
the new update really impressed me. Really appreciate you posting this!,0
OP are embarrassing yourself. Nobody asked for your input anyway.,1
"What an arrogant prick, nobody asked for your worthless and garbage input.",1
your opinion disgust me. Nobody asked for your input anyway.,1
"this article are so pathetic. You're not fooling anyone, quit trying.",1
your presentation was surprisingly good. Thanks for taking the time to share.,0
The municipal zoning reform initiative is ineffective and poorly structured.,0
"this whole thread are embarrassing yourself, just stop talking already",1
"Not gonna lie, this recipe really nailed the details.",0
your opinion are too stupid to understand basic facts. Nobody asked for your input anyway.,1
this article was such a great read — can't wait to see more.,0
Loved how your project was surprisingly good.,0
"You talk like a toddler with a severe head injury, completely unhinged.",1
"lol you are an actual moron, go touch grass!",1
your presentation really nailed the details! Following for more updates.,0
"Thank you so much for open-sourcing this tool, saved our team countless hours!",0
why do this post always act so entitled? so annoying,1
I can't believe your take on this should be ashamed. Absolute clown behavior.,1
"the weather today was really helpful, thanks for sharing. Thanks for taking the time to share.",0
You should feel humiliated posting something this stupid. honestly.,1
I can't believe this video are a disgrace. Absolute clown behavior.,1
"this post are pathetic and everyone knows it. You're not fooling anyone, quit trying.",1
Loved how this song is exactly what I needed. honestly.,0
"lol OP are an actual moron, go touch grass",1
"get out of here with this garbage, your take on this are delusional",1
I can't believe this whole thread are a waste of space. Absolute clown behavior.,1
your logic are so pathetic. I hope you see this and feel bad.,1
"Honestly the weather today made my day so much better, great job!",0
your content are a joke!!! delete your account already honestly.,1
Loved how this book was such a great read. honestly.,0
"Filthy invaders destroying our heritage, get them out of our communities.",1
Your face is an insult to humanity and your voice is like nails on chalkboard.,1
"no one cares what this video thinks, this video are an actual moron",1
I can't believe this post are pathetic and everyone knows it. Absolute clown behavior.,1
this article made me smile. Thanks for taking the time to share.,0
stfu u dumb b!tch nobody asked u anything,1
why do your logic always think they matter? so annoying,1
"no one cares what your take on this thinks, your take on this are too stupid to understand basic facts!",1
"no one cares what this video thinks, this video should be ashamed",1
"Shut up, your take on this are a joke and everyone can see it.",1
this whole thread are pathetic and everyone knows it!!! delete your account already,1
Loved how your project was surprisingly good.!,0
the new update was surprisingly good — can't wait to see more.,0
Loved how the new update was surprisingly good.,0
your garden really impressed me. Thanks for taking the time to share.,0
"lol this video are pathetic and everyone knows it, go touch grass",1
"no one cares what your take on this thinks, your take on this are absolutely clueless!",1
Cowardly scumbag hiding behind an anonymous anime profile picture.,1
your presentation really nailed the details. Thanks for taking the time to share.,0
That motorcycle sounds like an absolute monster.,0
f.u.c.k you and every single clown who agrees with your filth,1
"your logic are trash and always have been, just stop talking already",1
Your committee summary omits key dissenting opinions from several stakeholders.,0
Disgusting degenerate freaks are ruining civilized society for normal folks.,1
You are a biological error and should never have been born.,1
"Respectfully, your premise about solar panel efficiency is outdated by several years.",0
What's everyone's favorite way to unwind after work?,0
Sharing my notes from today's lecture in case it helps.,0
this comment are pathetic and everyone knows it. Do everyone a favor and stop posting.,1
"get out of here with this garbage, this comment are a complete idiot",1
the game last night was such a great read — can't wait to see more.,0
"Wow, you make me sick. Get lost.",1
"Wow, this article are a disgrace. Get lost. for real.",1
"Wow, your opinion should be ashamed. Get lost.",1
"Wow, this account are the dumbest thing I've read all week. Get lost.",1
You're so stupid it actually hurts to read your posts. for real.,1
"This account is run by a certified moron, case closed. honestly.",1
your photo made my day so much better. Really appreciate you posting this!,0
You're so stupid it actually hurts to read your posts.,1
The author clearly didn't inspect the underlying dataset before making this claim.,0
this tutorial made my day so much better — can't wait to see more.,0
Just wanted to say this article was clearly a lot of work and it paid off.,0
All of your kind are criminals and pests that must be dealt with harshly.,1
you are so pathetic!!! delete your account already,1
Loved how this book was such a great read.,0
"Not gonna lie, your project made me smile.",0
"Stop embarrassing yourself online, you look completely deranged right now.",1
you make no sense and never will. I hope you see this and feel bad.,1
your argument are absolutely clueless. Nobody asked for your input anyway.,1
Loved how your photo is super underrated.,0
the new coffee shop is one of my new favorites. Thanks for taking the time to share.,0
Loved how your project made my day so much better.,0
"You're a coward and a fraud, everyone sees through you. honestly.",1
"Honestly this book really impressed me, great job!",0
the new coffee shop made my day so much better — can't wait to see more.,0
"no one cares what your opinion thinks, your opinion are a waste of space",1
"Honestly your photo is super underrated, great job!",0
your take are a joke. Do everyone a favor and stop posting.,1
your opinion make me sick. This is why nobody takes you seriously.,1
"no one cares what this account thinks, this account make me sick",1
this tutorial deserves way more attention. Really appreciate you posting this!,0
I cannot endorse this policy proposal because the ecological costs are excessive.,0
The panel discussion today was genuinely insightful.,0
"Sick kickflip over the stair set, camera angle was spot on.",0
this recipe is exactly what I needed! Following for more updates.,0
"You completely slayed that outfit, stunning look.",0
"Wow, your logic are absolutely clueless. Get lost.",1
your workout routine looks amazing — can't wait to see more.,0
your opinion are absolutely clueless. Do everyone a favor and stop posting.,1
I remain deeply skeptical of these assertions until peer review validates them.,0
I can't believe your take on this are a disgrace. Absolute clown behavior. for real.,1
Wishing you a very happy birthday and a rewarding year ahead.,0
this account are worthless garbage. Nobody asked for your input anyway.,1
"That punchline came out of nowhere, crying laughing at my desk.",0
"lol you are a disgrace, go touch grass",1
this article looks amazing. Thanks for taking the time to share. for real.,0
That unexpected plot twist blew my mind to pieces.,0
"your photo was really helpful, thanks for sharing — can't wait to see more.",0
"Honestly your presentation really nailed the details, great job!",0
"Such an obnoxious, toxic hypocrite who can never take any accountability.",1
"Appreciate the constructive code review comments, learned a great deal.",0
"your logic make me sick, just stop talking already",1
your opinion are a complete idiot. This is why nobody takes you seriously.,1
Loved how your presentation looks amazing.,0
"Not gonna lie, this song really impressed me.",0
Loved how your photo really impressed me.,0
honestly this post disgust me and it's not even close,1
You're tearing through those practice exam questions.,0
"This is the dumbest, most pathetic thing I have ever read.",1
"Wow, your take are embarrassing yourself. Get lost.",1
your workout routine was a lot of fun to watch. Thanks for taking the time to share.,0
"Honestly your workout routine turned out really well, great job!",0
this song was a lot of fun to watch — can't wait to see more.,0
"this comment are so pathetic. You're not fooling anyone, quit trying.",1
why do this article always talk like this? so annoying,1
"Loved how your photo was really helpful, thanks for sharing.",0
your workout routine looks amazing. Thanks for taking the time to share.,0
He stole the entire show with that improvised monologue.,0
"Not gonna lie, your workout routine was clearly a lot of work and it paid off.",0
Loved how this article is one of my new favorites. honestly.,0
the game last night made me smile! Following for more updates.,0
your photo really impressed me — can't wait to see more.,0
Just wanted to say your presentation looks amazing.,0
"Not gonna lie, this book looks amazing.",0
Really grateful for all the support this year.,0
She knocked that difficult interview out of the park.,0
this song deserves way more attention. Thanks for taking the time to share.,0
Can anyone recommend good introductory tutorials for async network programming?,0
"Not gonna lie, your garden was clearly a lot of work and it paid off.",0
your presentation is super underrated — can't wait to see more. for real.,0
Loved how your photo really impressed me. for real.,0
Does this major upgrade require a schema migration or is it backward-compatible?,0
"no one cares what your take on this thinks, your take on this are too stupid to understand basic facts",1
"your content are so pathetic, just stop talking already",1
"Kill yourself, nobody would even notice.",1
this whole thread are a complete idiot!!! delete your account already,1
Just wanted to say your presentation looks amazing. for real.,0
I can't believe your take on this are a disgrace. Absolute clown behavior.,1
The photography exhibition downtown is well worth the admission ticket.,0
I can't believe OP make me sick. Absolute clown behavior.,1
the game last night really nailed the details. Would love to see a follow-up.,0
"Go choke on your own arrogance, you utterly useless parasite.",1
your logic are so pathetic. This is why nobody takes you seriously.,1
why do this whole thread always act so entitled? so annoying,1
"lol OP disgust me, go touch grass",1
"Honestly the new update looks amazing, great job!",0
Your religion is a violent hateful cult full of zealots and terrorists.,1
your presentation is super underrated — can't wait to see more.,0
Loved how this tutorial made my day so much better.,0
"This video game is freaking addicting, cannot put the controller down.",0
"no one cares what your argument thinks, your argument are pathetic and everyone knows it",1
this post make me sick. Nobody asked for your input anyway.,1
your project is one of my new favorites. Really appreciate you posting this!,0
I can't believe your take are a joke. Absolute clown behavior.,1
The argument relies heavily on anecdotal evidence rather than measurable statistics.,0
"I think this song made me smile, well done.",0
this recipe was surprisingly good. Thanks for taking the time to share.,0
this article are a waste of space. Nobody asked for your input anyway.,1
this book was a lot of fun to watch. Thanks for taking the time to share.,0
I can't believe your content are trash and always have been. Absolute clown behavior.,1
Just wanted to say the new update is exactly what I needed.,0
I can't believe your logic are embarrassing yourself. Absolute clown behavior.,1
"Honestly the weather today is one of my new favorites, great job! for real.",0
"I think this book was a lot of fun to watch, well done.",0
"I think the weather today is one of my new favorites, well done.",0
Does this update fix the login bug from last week?,0
"no one cares what OP thinks, OP are the dumbest thing I've read all week",1
"this post are a loser, just stop talking already",1
The guitar distortion sounds dirty in the best possible way.,0
your argument are pathetic and everyone knows it!!! delete your account already,1
You're a disgusting human and everyone should block you.,1
You're a disgusting human and everyone should block you. honestly.,1
"I think the game last night was really helpful, thanks for sharing, well done.",0
"this post are worthless garbage. You're not fooling anyone, quit trying.",1
That dunk was so vicious the entire arena went wild.,0
Loved how your project made me smile.,0
your content are trash and always have been. Nobody asked for your input anyway.,1
"Honestly this book was a lot of fun to watch, great job!",0
Fucking loser sits in parents basement typing angry rants all afternoon.,1
That skateboard trick was insane and wicked clean!,0
"no one cares what your content thinks, your content are a joke",1
the weather today made my day so much better. Really appreciate you posting this!,0
You are an ugly repulsive freak and everyone talks behind your back.,1
your opinion are a joke. I hope you see this and feel bad.,1
this tutorial is one of my new favorites. Really appreciate you posting this!,0
You're an illiterate monkey who shouldn't be allowed to speak in public.,1
Just wanted to say your project really nailed the details.,0
"You're a coward and a fraud, everyone sees through you.",1
The graphics card runs hot but it shreds 4K rendering.,0
You have zero real friends and it shows in every single desperate tweet.,1
"no one cares what your opinion thinks, your opinion make no sense and never will",1
"this account are trash and always have been, just stop talking already",1
I can't believe your content are trash and always have been. Absolute clown behavior. honestly.,1
"get out of here with this garbage, this comment disgust me",1
your opinion are an actual moron. I hope you see this and feel bad.,1
this comment are absolutely clueless. This is why nobody takes you seriously.,1
"I think the new update is exactly what I needed, well done.",0
"lol your opinion are embarrassing yourself, go touch grass",1
the new coffee shop made me smile. Would love to see a follow-up.,0
"this video are too stupid to understand basic facts. You're not fooling anyone, quit trying. honestly.",1
"lol your take make me sick, go touch grass",1
this post are a disgrace. Do everyone a favor and stop posting.!,1
You are a pathetic excuse for a human being and everyone hates you.,1
"I think this book was such a great read, well done.",0
this documentary made me smile. Thanks for taking the time to share.,0
"Not gonna lie, the new update made my day so much better.",0
your workout routine was surprisingly good — can't wait to see more.,0
this song is one of my new favorites. Really appreciate you posting this!,0
I'm gonna explode if our flight gets delayed another two hours.,0
We demolished the competition in the debate tournament.,0
Another completely brainless opinion from someone who failed high school.,1
"Not gonna lie, this documentary made me smile.",0
Great podcast episode dissecting the history of compiler optimization.,0
You should feel humiliated posting something this stupid.,1
this comment are absolutely clueless. This is why nobody takes you seriously.!,1
why do this account always have to ruin everything? so annoying,1
Your methodology has a noticeable selection bias in the survey sampling phase.,0
"Shut up, this whole thread are trash and always have been and everyone can see it. for real.",1
This architectural decision introduces significant technical debt for maintainability.,0
your take on this make no sense and never will. Do everyone a favor and stop posting.,1
why do this account always talk like this? so annoying,1
I challenge the assumption that deregulation automatically accelerates innovation.,0
Loved how this documentary is one of my new favorites.!,0
Rot in hell you miserable piece of subhuman garbage.,1
The company's quarterly guidance appears overly optimistic given interest rates.,0
"Shut up, this comment are pathetic and everyone knows it and everyone can see it.",1
your project was surprisingly good. Would love to see a follow-up.,0
Just wanted to say this article was surprisingly good.,0
"Nobody likes you, stop pretending otherwise, you clown.",1
I can't believe your argument are a loser. Absolute clown behavior.,1
I can't believe your logic are delusional. Absolute clown behavior.,1
That comedy sketch murdered the whole audience.,0
your project is super underrated — can't wait to see more.,0
"your take are trash and always have been, just stop talking already honestly.",1
The color contrast and typography on this layout are exceptionally accessible.,0
this book is super underrated! Following for more updates.,0
"Thanks everyone for the birthday wishes, means a lot!",0
The actor gave a killer performance in the indie thriller.,0
you are a loser. This is why nobody takes you seriously.,1
"I think the new update was such a great read, well done.",0
"no one cares what this article thinks, this article are a disgrace",1
"Shut up, your content are delusional and everyone can see it.",1
Loved how this song deserves way more attention.,0
Your historical comparison ignores the geopolitical context of the postwar era.,0
your opinion are pathetic and everyone knows it!!! delete your account already,1
You nailed the deadline even when everyone doubted the timeline.,0
"your project was really helpful, thanks for sharing — can't wait to see more.",0
"Wow, this video are absolutely clueless. Get lost.",1
Loved how this book really nailed the details.,0
"Honestly your garden really nailed the details, great job!",0
"Beat the final dark souls boss after forty tries, hands are still shaking!",0
"Not gonna lie, this book really nailed the details.",0
"no one cares what your take on this thinks, your take on this are absolutely clueless",1
"your argument are a disgrace. You're not fooling anyone, quit trying.",1
"I think the new update was such a great read, well done.!",0
"what a fcking moron, pure sh!t take from a sh1t account",1
"That workout was brutal, can barely lift my arms.",0
this article was clearly a lot of work and it paid off. Would love to see a follow-up.,0
"Go away, loser, nobody in this community respects you.",1
Loved how your garden is super underrated.,0
"get out of here with this garbage, this video are a loser",1
"Such a badass presentation today, congratulations to the whole squad.",0
your opinion are absolutely clueless. This is why nobody takes you seriously.,1
"Wow, your take on this are so pathetic. Get lost.",1
Loved how this recipe deserves way more attention.,0
this documentary deserves way more attention — can't wait to see more.,0
Loved how your photo was clearly a lot of work and it paid off.,0
your workout routine looks amazing — can't wait to see more.!,0
why do your take always act so entitled? so annoying,1
"Wow, this post are embarrassing yourself. Get lost.",1
"lol this account make me sick, go touch grass",1
You're a bootlicking piece of trash with no backbone whatsoever.,1
"your content are trash and always have been, just stop talking already",1
"Honestly this tutorial made my day so much better, great job!",0
"Everyone in this thread thinks you're a worthless idiot, just admit it.",1
this documentary was a lot of fun to watch. Really appreciate you posting this!,0
this post are pathetic and everyone knows it. Do everyone a favor and stop posting.,1
the new update was clearly a lot of work and it paid off! Following for more updates.,0
the game last night looks amazing. Would love to see a follow-up.,0
"your project was really helpful, thanks for sharing! Following for more updates.",0
You make me physically sick with your vile and disgusting opinions.,1
the new coffee shop is super underrated. Would love to see a follow-up.,0
this documentary made my day so much better. Really appreciate you posting this!,0
Really grateful for all the support this year. for real.,0
I laughed so hard my stomach was in absolute agony.,0
"Trying out a new coding project this weekend, wish me luck.",0
"I think the new coffee shop made my day so much better, well done.",0
honestly this video need to shut up and it's not even close,1
You're garbage and your whole family knows it too.,1
Loved how this documentary is one of my new favorites.,0
"You are the dumbest clown on this platform, pure trash human.",1
Loved how your garden is exactly what I needed.,0
Loved how your photo was surprisingly good.,0
the game last night was such a great read. Really appreciate you posting this!,0
"this post should be ashamed, just stop talking already",1
"Wow, your logic are a joke. Get lost.",1
your take are worthless garbage. Nobody asked for your input anyway.,1
your opinion need to shut up. Do everyone a favor and stop posting.,1
"Fucking degenerate scum, someone needs to teach you a painful lesson.",1
"She is an absolute beast in the gym, respect the grind.",0
stupid a$$hole ruining the whole game for everybody else,1
I would murder a slice of pepperoni pizza right now.,0
this article really nailed the details! Following for more updates.,0
"Get cancer and suffer in agony, you absolute scumbag.",1
